CD_UNID;NOME_UNID;CD_FUNCIOMANU;NOME_FUNCIOMANU;FUNCIOMANU_ID;CD_SETORMANUT;DESCR_SETORMANUT;CD_TPCENTATIV;DESCR_ABREV_TPCENTATIV;DT_ABERTURA;CD_ORDEMSERV;ORDEMSERV_ID;CD_MAQUINA;DESCR_MAQUINA;CD_PLANMANUT;DESCR_PLANMANUT;DESCR_RECOMENOS;CF_DT_FINAL_EXECUCAO;CS_QTDE_PERIODO_MAX;CS_TOT_TEMP;CF_TOT_TEMP;SEQ_SEQPLAMANU;CD_TAREFAMANU;DESCR_TAREFAMANU;DESCR_PERIODO;DT_PRIMEXEC;TEMPO_PREV;QTDE_PERIODO;DESCR_SEQPLAMANU;CF_TEMP_PREV;ITEMPLANMA_ID;CD_ITEM;DESCR_ITEM;ITEM_ID;QTDE;QTDE_SALDO;QTDE_RESERVA
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;ETE;SETOR DE OPERACAO DE ETE      ;;;11/03/2026;86456;15597407;99986117;BOMBA 01 RECIRCULAÇÃO DE LODO ETE (BB1701000025);1;PREVENTIVA;;08/08/2026;150;0;;1;807;REVISÃO COMPLETA, TROCA DE PEÇAS DE DESGASTE DA BOMBA;DIAS;22/07/2025;0;150;;;;;;;;;
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;24/03/2025;52727;14781179;99986408;DESUMIDIFICADOR HCD 4500;1;PREVENTIVA;;23/04/2025;30;60;01:00;3;53930;REALIZAR LIMPEZA GERAL DO EQUIPAMENTO;DIAS;25/05/2024;60;30;TAREFA MENSAL;01:00;;;;;;;
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;24/03/2025;52728;14781186;99989901;DESUMIDIFICADOR HCD 4500 - PV VAPOR;1;PREVENTIVA;;23/04/2025;30;90;01:30;1;4053;VERIFICAR VALVULAS DE VAPOR (VAZAMENTOS, FUNCIONAMENTO);DIAS;05/06/2024;90;30;TAREFA MENSAL;01:30;;;;;;;
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;24/03/2025;52729;14781194;99989902;DESUMIDIFICADOR HCD 4500 - SISTEMA ELÉTRICO;1;PREVENTIVA;;23/04/2025;30;60;01:00;1;53925;VERIFICAR SISTEMA ELÉTRICO EM GERAL;DIAS;05/06/2024;60;30;TAREFA MENSAL;01:00;;;;;;;
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;24/03/2025;52733;14781209;99989904;DESUMIDIFICADOR HCD 4500 - VENT. PROCESSO - MOTOR;1;PREVENTIVA;;23/04/2025;30;40;00:40;1;5201;REALIZAR VERIFICAÇÃO DA CAIXA DE LIGAÇÃO, VEDAÇÕES E CABOS ELÉTRICOS;DIAS;25/05/2024;40;30;TAREFA MENSAL;00:40;;;;;;;
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;24/03/2025;52735;14781217;99989906;DESUMIDIFICADOR HCD 4500 - VENT. REATIVAÇÃO - MOTOR;1;PREVENTIVA;;23/04/2025;30;40;00:40;1;5201;REALIZAR VERIFICAÇÃO DA CAIXA DE LIGAÇÃO, VEDAÇÕES E CABOS ELÉTRICOS;DIAS;25/05/2024;40;30;TAREFA MENSAL;00:40;;;;;;;
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;04/04/2025;52743;14781243;99994519;DESUMIDIFICADOR HCD 4500 - QUADRO COMANDO;1;PREVENTIVA;;04/05/2025;30;60;01:00;1;5215;QUADRO DE COMANDO: REALIZAR APERTO, ORGANIZAÇÃO E LIMPEZA COM FORLIN E AR COMPRIMIDO DOS COMPONENTES, CABOS E CALHAS, REALIZAR TROCA DE BORRACHAS DE VEDAÇÃO CASO NECESSÁRIO, REALIZAR APERTO DAS FECHADURAS DAS PORTAS E VERIFICAR CONDIÇÕES DA MESMA, REALIZAR LIMPEZA DOS FILTROS DE VENTILAÇÃO E VERIFICAR CONDIÇÕES DA ESTRUTURA DO QUADRO.;DIAS;03/02/2025;60;30;TAREFA MENSAL;01:00;;;;;;;
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;21/10/2025;32681;14263595;99989904;DESUMIDIFICADOR HCD 4500 - VENT. PROCESSO - MOTOR;1;PREVENTIVA;;21/10/2026;365;90;01:30;2;5088;REVISAR MOTOR ELÉTRICO (DESMONTAGEM, TROCA DE ROLAMENTOS, INSPECIONAR TAMPAS TRASEIRA E DIANTEIRA, TAMPA DEFLETORA, VENTOINHA, CAIXA DE LIGAÇÃO, PINTURA, PLACA DE IDENTIFICAÇÃO, MONTAGEM E TESTE).;DIAS;15/10/2024;90;365;TAREFA ANUAL;01:30;60446;40890;ROLAMENTO 6207-ZZ;17035;1;7;0
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;21/10/2025;32681;14263595;99989904;DESUMIDIFICADOR HCD 4500 - VENT. PROCESSO - MOTOR;1;PREVENTIVA;;21/10/2026;365;90;01:30;2;5088;REVISAR MOTOR ELÉTRICO (DESMONTAGEM, TROCA DE ROLAMENTOS, INSPECIONAR TAMPAS TRASEIRA E DIANTEIRA, TAMPA DEFLETORA, VENTOINHA, CAIXA DE LIGAÇÃO, PINTURA, PLACA DE IDENTIFICAÇÃO, MONTAGEM E TESTE).;DIAS;15/10/2024;90;365;TAREFA ANUAL;01:30;60447;63923;ROLAMENTO 6308 ZZ;32690;1;7;0
92;FRIG. AURORA CASTRO;254009;MARLOS WILLIAN SCHUMUKER;8425;EXD;EXPEDICAO                     ;;;21/10/2025;32683;14263599;99989906;DESUMIDIFICADOR HCD 4500 - VENT. REATIVAÇÃO - MOTOR;1;PREVENTIVA;;21/10/2026;365;90;01:30;2;5088;REVISAR MOTOR ELÉTRICO (DESMONTAGEM, TROCA DE ROLAMENTOS, INSPECIONAR TAMPAS TRASEIRA E DIANTEIRA, TAMPA DEFLETORA, VENTOINHA, CAIXA DE LIGAÇÃO, PINTURA, PLACA DE IDENTIFICAÇÃO, MONTAGEM E TESTE).;DIAS;15/10/2024;90;365;TAREFA ANUAL;01:30;60449;63676;ROLAMENTO 6206 ZZC3 NSK / SKF;32446;1;3;0
